File Name,Description
0327_JPEG.rf.ef7df4f5663f66de1f4b4c168908bfd2.jpg,A blue car with a heavily damaged front grille and hood.
0330_JPEG.rf.5fa1310722205cd043b8348088d0b6bf.jpg,A gray car with a dented front bumper and minor damage.
0336_JPEG.rf.05b5f8c358cada91f56cbbc995eb0c3d.jpg,A red car with major front-end damage after a collision at night.
0340_JPEG.rf.79fef22e1045803e2d4f2aecf469ce3d.jpg,A black car with severe front and side damage parked in front of an auto parts store.
0341_JPEG.rf.e2c63d6bc00d752665f2c01cf312d48d.jpg,A silver Mercedes-Benz with a dented front bumper and slight damage to the side.
0346_JPEG.rf.b93557c57835467e35b30be89dbe3094.jpg,"A white car with significant front-end damage, parked in a garage."
0347_JPEG.rf.41c40a0328f886de637bfc4ce310f2cb.jpg,Close-up of a damaged headlight and front corner of a car after an accident.
0357_JPEG.rf.bcc15e8141a51918e0a814e9403f3c38.jpg,A red car with major front-end damage after a collision on the street.
0361_JPEG.rf.bf749c2496abb11ac69591ac2e2967bb.jpg,"A white car with a large dent on the side door, parked on a street."
0366_JPEG.rf.a40e5d37d98e83da1424595ba26b1d2c.jpg,"A red car with severe front-end damage, parked in a scrapyard."
0367_JPEG.rf.f2f3464dd66c717a694d85fa1f8fddbc.jpg,A silver car with extensive damage to the front and side after an accident.
0370_JPEG.rf.7fd3d449e3b005e5787132752c72d3c4.jpg,"A silver car with a dented front bumper and minor damage, parked in a garage."
0371_JPEG.rf.027432ab765a8e0d24fcedb6f3ddede7.jpg,"A blue car with front-end damage, parked in a parking lot."
